signal,market,lag,lookback,threshold,mode,rows,trades,active_days,avg_daily_return,vol_daily,sharpe,cum_return,buy_hold_return,max_drawdown,hit_rate
expected_stress,ES_return,2,10,1.0,short_only,781,34,68,0.00028544617357753783,0.0034098529619658482,1.3288894208724045,0.24407687026936276,-0.39959141794042796,-0.04834728359960083,0.6029411764705882
expected_stress,ES_return,1,20,1.5,short_only,781,34,85,0.00030248154403248953,0.003897095106297239,1.2321345820946887,0.2589719446128014,-0.39959141794042796,-0.04771046019048819,0.5882352941176471
expected_stress,ES_return,3,20,2.0,short_only,781,34,51,0.00021786905986985903,0.002875892137271451,1.202605640150296,0.18166467195351865,-0.39959141794042796,-0.03153183738311949,0.5882352941176471
expected_stress,ES_return,2,20,2.0,short_only,781,34,51,0.00023181296121577467,0.003065065703861775,1.2005996059771118,0.194091990898833,-0.39959141794042796,-0.040012502068386024,0.6078431372549019
expected_stress,ES_return,1,10,1.0,short_only,781,34,68,0.00024884833167072645,0.003599543093267949,1.0974572872964077,0.20838860664854386,-0.39959141794042796,-0.047048178219373016,0.5882352941176471
expected_stress,ES_return,3,10,1.5,short_only,781,34,34,0.00016423584750809592,0.002455815156587619,1.061628456122396,0.1341874078908687,-0.39959141794042796,-0.028284808012585483,0.5882352941176471
expected_stress,ES_return,1,10,0.5,short_only,781,34,119,0.00029318611663750236,0.004394762172667213,1.0590300753528576,0.24786212330179747,-0.39959141794042796,-0.07266132265925385,0.5630252100840336
expected_stress,ES_return,2,10,1.5,short_only,781,34,34,0.00016100476014911595,0.002584583199332289,0.9888911032824459,0.13104755447914962,-0.39959141794042796,-0.03968872652557898,0.6470588235294118
expected_stress,ES_return,1,40,2.0,short_only,781,16,48,0.00017304876268471473,0.002838715640944211,0.967713674763637,0.14112666149429276,-0.39959141794042796,-0.0444146458550837,0.5208333333333334
expected_stress,ES_return,3,20,1.5,short_only,781,34,85,0.00020857363247487183,0.003520761968225594,0.94042249925577,0.17123705010610157,-0.39959141794042796,-0.06259330460723811,0.5529411764705883
expected_stress,ES_return,1,20,1.0,short_only,781,34,153,0.00028719278683128586,0.004888238269431997,0.9326558777284724,0.23981424614928848,-0.39959141794042796,-0.07509917115495013,0.5555555555555556
expected_stress,ES_return,3,20,2.0,long_short,781,70,105,0.0002530898450873081,0.004363015064611449,0.9208486968859627,0.2095525510540024,-0.39959141794042796,-0.10187524918851631,0.5238095238095238
expected_stress,ES_return,1,20,2.0,short_only,781,34,51,0.00017804013060406768,0.003200713765143652,0.8830216199229831,0.1445893522671624,-0.39959141794042796,-0.05612180110998277,0.6078431372549019
expected_stress,ES_return,2,10,1.0,long_short,781,70,140,0.00027985877593260405,0.005037918707057975,0.8818364484118675,0.23206554220575604,-0.39959141794042796,-0.11348089896169444,0.5428571428571428
expected_stress,ES_return,2,20,1.5,short_only,781,34,85,0.00020180399446689904,0.0036953354105638487,0.8669142964601443,0.1644935885499823,-0.39959141794042796,-0.05652531598476851,0.5647058823529412
expected_stress,ES_return,2,10,0.5,short_only,781,34,119,0.00022598184905613233,0.004341343607907135,0.8263226697763638,0.18429081598464125,-0.39959141794042796,-0.06570727057601322,0.5462184873949579
expected_stress,ES_return,3,10,2.0,short_only,781,34,17,9.342764644143715e-05,0.001818485174982297,0.815578773352995,0.0743057518126311,-0.39959141794042796,-0.026542829120553724,0.6470588235294118
expected_stress,ES_return,7,10,2.0,short_only,781,34,17,7.43467517156516e-05,0.0014587343890158956,0.809069905966008,0.058913937305595354,-0.39959141794042796,-0.00894526029686682,0.5882352941176471
expected_stress,ES_return,3,10,0.5,short_only,781,34,119,0.00020258030266865525,0.004120156324705001,0.7805195616015831,0.1636833534919413,-0.39959141794042796,-0.06731742340635083,0.5462184873949579
expected_stress,ES_return,5,10,2.0,long_short,781,70,35,0.00011357022716683033,0.0024096205023444615,0.7481972629271492,0.09029327874694504,-0.39959141794042796,-0.04220314910706546,0.5428571428571428
expected_stress,ES_return,2,20,1.0,short_only,781,34,153,0.0002242740285450683,0.0048098660656839595,0.7401952116225606,0.18073852143657043,-0.39959141794042796,-0.07930728892451588,0.5359477124183006
expected_stress,ES_return,3,10,1.0,short_only,781,34,68,0.00013422688075922023,0.0032074667687122145,0.6643204211117695,0.10607388272394735,-0.39959141794042796,-0.05929810267849411,0.5441176470588235
expected_stress,ES_return,1,20,1.5,long_short,781,70,175,0.00023136990729420172,0.005691109206255776,0.6453721551063998,0.18303531933041417,-0.39959141794042796,-0.11360316652715508,0.5314285714285715
expected_stress,ES_return,7,10,2.0,long_short,781,70,35,8.641220251096889e-05,0.0021541521010913695,0.6367940257409268,0.06788836889649708,-0.39959141794042796,-0.03965287915510307,0.5714285714285714
expected_stress,ES_return,3,10,1.5,long_short,781,70,70,0.00013951961792047773,0.0036416151179140374,0.6081931232377672,0.1093827455710994,-0.39959141794042796,-0.09155587229929063,0.5142857142857142
expected_stress,ES_return,2,20,2.0,long_short,781,70,105,0.0001662885487657738,0.004428563335247458,0.5960734160585154,0.13003131012762736,-0.39959141794042796,-0.11127763654451894,0.5428571428571428
expected_stress,ES_return,2,10,2.0,short_only,781,34,17,6.757711370767883e-05,0.0018400612252469075,0.5829987657048566,0.05281718223213416,-0.39959141794042796,-0.028566151843939958,0.6470588235294118
expected_stress,ES_return,5,10,2.0,short_only,781,34,17,5.3633212361763116e-05,0.001502453686459358,0.566673608118218,0.04186015797066345,-0.39959141794042796,-0.03756808074218965,0.5882352941176471
expected_stress,ES_return,2,40,2.0,short_only,781,16,48,0.00010399745302615649,0.0029971418555775125,0.5508275769716213,0.08082912915901752,-0.39959141794042796,-0.04755926371124308,0.5208333333333334
expected_stress,ES_return,1,40,2.0,long_short,781,40,111,0.00015485119819808504,0.004542104210543334,0.5411999482990695,0.11954996663736006,-0.39959141794042796,-0.13133411171824705,0.5045045045045045
expected_stress,ES_return,3,20,1.0,short_only,781,34,153,0.00015942694725361225,0.004918476517844554,0.5145545209191553,0.12195623652026222,-0.39959141794042796,-0.0898814578609729,0.5359477124183006
expected_stress,ES_return,1,10,1.5,short_only,781,34,34,8.461248416263057e-05,0.0026369510490076666,0.5093691617596521,0.06542234399838698,-0.39959141794042796,-0.04021956419187955,0.5882352941176471
expected_stress,ES_return,5,10,2.0,long_only,781,36,18,5.9937014805067226e-05,0.0018855612844062776,0.5046086917882512,0.046487160878307954,-0.39959141794042796,-0.033629634029357924,0.5
expected_stress,ES_return,2,20,0.5,short_only,781,34,255,0.00020105836848614763,0.006523925476670195,0.4892303971818877,0.15078057265935674,-0.39959141794042796,-0.08151585594957234,0.5254901960784314
expected_stress,ES_return,1,40,1.5,short_only,781,20,89,0.00011563150440532948,0.0038987483222695887,0.47081603493094165,0.0880532495968418,-0.39959141794042796,-0.09990652142838885,0.5168539325842697
expected_stress,ES_return,1,20,0.5,short_only,781,34,255,0.00018741468759534994,0.006529800762142355,0.4556212418850042,0.13853615411874998,-0.39959141794042796,-0.11229223843807623,0.5176470588235295
expected_stress,ES_return,3,20,0.5,short_only,781,34,255,0.00017027388627444636,0.0064215442666940795,0.42092899072945805,0.1240162130270206,-0.39959141794042796,-0.08477093143614844,0.5215686274509804
expected_stress,ES_return,7,20,2.0,short_only,781,34,51,6.83534219094351e-05,0.0025896367170197255,0.4190073946142497,0.05208464973978044,-0.39959141794042796,-0.029704820631478945,0.5490196078431373
expected_stress,ES_return,3,10,2.0,long_short,781,70,35,6.373988674349683e-05,0.0024639753802780237,0.4106531833114827,0.048547683663056285,-0.39959141794042796,-0.04795938504869757,0.5714285714285714
expected_stress,ES_return,3,20,1.5,long_short,781,70,175,0.00013980687614200847,0.005424803941685936,0.409114389929757,0.10266457536077223,-0.39959141794042796,-0.13990078002869166,0.5028571428571429
expected_stress,ES_return,2,10,1.5,long_short,781,70,70,9.050881758879283e-05,0.003525060213393763,0.40759103385852796,0.06806394585764042,-0.39959141794042796,-0.08406772090412618,0.5857142857142857
expected_stress,ES_return,3,40,2.0,short_only,781,16,48,6.24570165069298e-05,0.0026409855117869767,0.3754183411553401,0.0471344341602562,-0.39959141794042796,-0.056931795293446275,0.5208333333333334
expected_stress,ES_return,1,10,1.0,long_short,781,70,140,0.00011779968012737147,0.005158414912452713,0.3625167770676177,0.08506155397936155,-0.39959141794042796,-0.14295894717613866,0.5285714285714286
expected_stress,ES_return,1,10,0.5,long_short,781,70,245,0.0001180869383489021,0.006540366506716971,0.28661574696342745,0.07849066738731958,-0.39959141794042796,-0.17736909703201065,0.5142857142857142
expected_stress,ES_return,5,20,2.0,short_only,781,34,51,4.433778496677592e-05,0.0025257314054307725,0.27866799879033105,0.03266624365379878,-0.39959141794042796,-0.0470524324473498,0.5294117647058824
expected_stress,ES_return,2,20,1.5,long_short,781,70,175,8.01636044763356e-05,0.005581468952573589,0.22799692709404018,0.05178418419870878,-0.39959141794042796,-0.19839934355432154,0.5085714285714286
expected_stress,ES_return,3,40,1.0,long_only,781,30,234,9.342812358881594e-05,0.006760548527111832,0.2193794596554861,0.05672618045529343,-0.39959141794042796,-0.20162261046495666,0.49572649572649574
expected_stress,ES_return,3,40,2.0,long_short,781,40,111,6.168606377921321e-05,0.004601902225225147,0.2127893763891724,0.04073776011035135,-0.39959141794042796,-0.12990014635898794,0.5045045045045045
expected_stress,ES_return,5,20,1.5,short_only,781,34,85,3.83444551605594e-05,0.003310176924634924,0.18388725706731748,0.02600623617919018,-0.39959141794042796,-0.054230199247729094,0.5294117647058824
expected_stress,ES_return,3,20,2.0,long_only,781,36,54,3.522078521744908e-05,0.003283368938030536,0.1702862646712234,0.02360050170102901,-0.39959141794042796,-0.10278132851489652,0.46296296296296297
expected_stress,ES_return,3,10,1.0,long_short,781,70,140,5.339467363103957e-05,0.004979695398760953,0.17021405903462217,0.03256539492064214,-0.39959141794042796,-0.17423674100301556,0.4857142857142857
expected_stress,ES_return,2,10,2.0,long_short,781,70,35,2.676893084529599e-05,0.002521565328456228,0.16852373344560445,0.018612660633997136,-0.39959141794042796,-0.08617893707209956,0.6
expected_stress,ES_return,7,10,1.5,short_only,781,34,34,2.4177854589233278e-05,0.002280686609631862,0.16828771706214865,0.017000718277299987,-0.39959141794042796,-0.03236238348466158,0.5
expected_stress,ES_return,10,40,2.0,long_only,781,24,63,3.766732793832538e-05,0.003563728400560858,0.16778784083788215,0.024765926524726867,-0.39959141794042796,-0.1053359459784029,0.5555555555555556
expected_stress,ES_return,7,20,0.5,short_only,781,33,254,6.569578899267757e-05,0.006639133273732718,0.15708199792869254,0.034715867350409324,-0.39959141794042796,-0.17488350140917497,0.5039370078740157
expected_stress,ES_return,1,40,0.5,long_short,781,37,603,0.00010247652597503718,0.01039176573421512,0.15654359993457484,0.0387114209154622,-0.39959141794042796,-0.342277886341947,0.4892205638474295
expected_stress,ES_return,1,40,0.5,short_only,781,25,291,6.884335816645223e-05,0.007067161778600482,0.1546383774701561,0.03489688419754011,-0.39959141794042796,-0.22299912000979616,0.4845360824742268
expected_stress,ES_return,1,20,2.0,long_short,781,70,105,4.201994895039053e-05,0.004406332072617813,0.15138350881527723,0.02556018975326535,-0.39959141794042796,-0.12023921670777082,0.5523809523809524
expected_stress,ES_return,1,10,2.0,short_only,781,34,17,1.7035370454951717e-05,0.0018894419483900327,0.1431259227225187,0.011972792597787718,-0.39959141794042796,-0.04870735858432229,0.5294117647058824
expected_stress,ES_return,3,10,0.5,long_short,781,70,245,5.9193459615484405e-05,0.006592364140624695,0.14253870390958978,0.029741028765130073,-0.39959141794042796,-0.16614344215227095,0.4857142857142857
expected_stress,ES_return,7,10,2.0,long_only,781,36,18,1.2065450795317288e-05,0.0015856423339320382,0.12079211652152154,0.008475128407259946,-0.39959141794042796,-0.03393561758940855,0.5555555555555556
expected_stress,ES_return,7,10,1.0,short_only,781,34,68,2.247003407816927e-05,0.0030803227891811865,0.11579979019884235,0.013950212389591155,-0.39959141794042796,-0.06973515260215768,0.5
expected_stress,ES_return,7,20,1.5,short_only,781,34,85,2.5200066494392057e-05,0.00372965707672709,0.10725882985192954,0.014359216002099773,-0.39959141794042796,-0.11655905647364007,0.5294117647058824
expected_stress,ES_return,5,40,1.0,long_only,781,30,234,4.2961625325369737e-05,0.00661110621190854,0.10315893245700757,0.016676585530913224,-0.39959141794042796,-0.14591009201179184,0.49572649572649574
expected_stress,ES_return,7,40,0.5,short_only,781,25,285,4.614814956875619e-05,0.00738288678114136,0.09922665551633933,0.014926532776305512,-0.39959141794042796,-0.15147352089394062,0.4807017543859649
expected_stress,ES_return,2,10,0.5,long_short,781,70,245,4.195197328012697e-05,0.006713225248958128,0.099202232183288,0.01533773536610994,-0.39959141794042796,-0.2110221361959198,0.5020408163265306
expected_stress,ES_return,2,40,0.5,short_only,781,25,290,4.2282478532794634e-05,0.007064600490895723,0.09501082742671943,0.013664502752528618,-0.39959141794042796,-0.19229851121892028,0.4827586206896552
expected_stress,ES_return,1,20,1.0,long_short,781,70,315,3.747352182237805e-05,0.0075368199442954345,0.07892900737277682,0.007165836433669748,-0.39959141794042796,-0.21528124035069052,0.4984126984126984
expected_stress,ES_return,10,10,0.5,long_only,781,36,126,2.4085181474672777e-05,0.004859371807086152,0.07868103490774647,0.009626595121619452,-0.39959141794042796,-0.11229533687493454,0.5317460317460317
expected_stress,ES_return,10,20,0.5,short_only,781,33,251,3.174404812142526e-05,0.00658943610001863,0.07647409185941195,0.007902148765562833,-0.39959141794042796,-0.19746899358319137,0.47410358565737054
expected_stress,ES_return,1,40,0.5,long_only,781,24,312,3.3633167808584914e-05,0.007618966875325444,0.07007642842995135,0.0036859099453936395,-0.39959141794042796,-0.23015682890367362,0.4935897435897436
expected_stress,ES_return,2,20,0.5,long_short,781,70,525,4.0948524045266594e-05,0.009779012288603898,0.06647273240786027,-0.005275981313038969,-0.39959141794042796,-0.22641975089177735,0.5047619047619047
expected_stress,ES_return,3,40,1.5,long_only,781,24,121,2.114501669825737e-05,0.00507858709173774,0.06609451169154364,0.006501784442109804,-0.39959141794042796,-0.14290249988104087,0.49586776859504134
expected_stress,ES_return,5,40,1.5,long_only,781,24,121,1.9992380183614382e-05,0.004964303079125286,0.0639302619993374,0.006034547626556419,-0.39959141794042796,-0.12900619698372995,0.512396694214876
expected_stress,ES_return,2,40,2.0,long_short,781,40,111,1.5265331199584197e-05,0.004834867635777328,0.05012125221745598,0.0028333729631579985,-0.39959141794042796,-0.15953847477908223,0.4954954954954955
expected_stress,ES_return,2,40,1.5,short_only,781,20,89,1.0506412424527178e-05,0.004022749588122248,0.04146023087619544,0.0019003492321345572,-0.39959141794042796,-0.13719883522028453,0.4943820224719101
expected_stress,ES_return,3,40,1.0,long_short,781,67,427,2.1146699267314602e-05,0.008881224647622109,0.03779810298538019,-0.014116786783721191,-0.39959141794042796,-0.24171681525032018,0.48711943793911006
expected_stress,ES_return,1,40,1.0,short_only,781,38,194,1.329726851000928e-05,0.005814233469762678,0.03630531774504503,-0.0027957456383136403,-0.39959141794042796,-0.12944878646572977,0.4948453608247423
expected_stress,ES_return,7,20,2.0,long_short,781,70,105,5.798785984444849e-06,0.00432001374310684,0.02130846779653196,-0.00273529034519826,-0.39959141794042796,-0.07606703087183009,0.4857142857142857
expected_stress,ES_return,3,40,1.5,long_short,781,44,210,2.594756081332275e-06,0.006487119174005129,0.006349579022614939,-0.01426686678648359,-0.39959141794042796,-0.18465965575380594,0.49523809523809526
expected_stress,ES_return,5,20,2.0,long_short,781,70,105,2.872582215307201e-07,0.0040208478456403105,0.001134109787894182,-0.006055773119916341,-0.39959141794042796,-0.10449349544899977,0.49523809523809526
expected_stress,ES_return,3,40,2.0,long_only,781,24,63,-7.709527277166128e-07,0.0037686341280076282,-0.0032474617394659257,-0.0061087419544516575,-0.39959141794042796,-0.09921805726705257,0.49206349206349204
expected_stress,ES_return,10,20,1.5,long_only,781,36,90,-3.93585163584672e-06,0.004221791938756326,-0.014799333709606871,-0.010003662967479121,-0.39959141794042796,-0.08014481021122455,0.5444444444444444
expected_stress,ES_return,5,20,0.5,short_only,781,34,255,-6.2633793170767914e-06,0.006486844828715457,-0.015327646469815987,-0.021076638430790107,-0.39959141794042796,-0.12273411043400828,0.5019607843137255
expected_stress,ES_return,5,10,0.5,short_only,781,34,119,-4.80890025448365e-06,0.004261314534334768,-0.017914407468255802,-0.010784083199576466,-0.39959141794042796,-0.14062023335287654,0.5210084033613446
expected_stress,ES_return,2,10,1.0,long_only,781,36,72,-5.587397644933776e-06,0.003708144250787848,-0.02391956241947478,-0.009654811813200936,-0.39959141794042796,-0.13733763713289748,0.4861111111111111
expected_stress,ES_return,5,10,1.0,short_only,781,34,68,-5.831112159642394e-06,0.0030740737844438637,-0.030111845823758435,-0.008208056823840515,-0.39959141794042796,-0.06274854697650223,0.5
expected_stress,ES_return,2,20,1.0,long_short,781,70,315,-1.4959086167792575e-05,0.007626298200117481,-0.031138060014612886,-0.03376425720370346,-0.39959141794042796,-0.24944388493842662,0.49206349206349204
expected_stress,ES_return,7,20,0.5,long_short,781,69,524,-2.3191096734532245e-05,0.009814298017411979,-0.03751131735447001,-0.05416338654940722,-0.39959141794042796,-0.20661667238212833,0.4961832061068702
expected_stress,ES_return,1,40,1.5,long_short,781,44,210,-1.5438747927741808e-05,0.006421779007851425,-0.038164272723565824,-0.0277158040192943,-0.39959141794042796,-0.23725199208736059,0.48095238095238096
expected_stress,ES_return,2,40,1.0,long_only,781,30,234,-2.1247127423702037e-05,0.006839336747384883,-0.04931584799573778,-0.034203194321477226,-0.39959141794042796,-0.2340156300389693,0.49145299145299143
expected_stress,ES_return,10,40,0.5,short_only,781,25,282,-2.3462147297211307e-05,0.0073117380606300955,-0.05093864669980094,-0.03841305984696575,-0.39959141794042796,-0.18553409396273446,0.48936170212765956
expected_stress,ES_return,7,40,1.5,long_only,781,24,121,-1.9517514610452504e-05,0.005017843463067634,-0.06174583593457666,-0.024748027516786175,-0.39959141794042796,-0.15244505760106875,0.5041322314049587
expected_stress,ES_return,3,40,0.5,short_only,781,25,289,-2.8818147159201336e-05,0.0069996940224658485,-0.0653562716177552,-0.04075360080940471,-0.39959141794042796,-0.22574789347562452,0.4671280276816609
expected_stress,ES_return,3,20,0.5,long_short,781,70,525,-4.0132291599256e-05,0.009739660843086927,-0.06541094078658177,-0.06604952395629926,-0.39959141794042796,-0.18896880179398656,0.49523809523809526
expected_stress,ES_return,3,40,1.5,short_only,781,20,89,-1.855026061692509e-05,0.004036072699107504,-0.07296108867217231,-0.020634490221103752,-0.39959141794042796,-0.11969261872123793,0.4943820224719101
expected_stress,ES_return,2,40,1.5,long_short,781,44,210,-3.00903805670441e-05,0.006521611371421655,-0.07324416556118837,-0.03926895492924776,-0.39959141794042796,-0.24875230052757014,0.49047619047619045
expected_stress,ES_return,1,40,2.0,long_only,781,24,63,-1.819756448662972e-05,0.0035448692448000595,-0.08149168859072871,-0.01890823830956523,-0.39959141794042796,-0.14395775855930504,0.49206349206349204
expected_stress,ES_return,10,40,1.0,long_only,781,30,234,-3.394969489240813e-05,0.00652119730916569,-0.08264351975265417,-0.04216603441341793,-0.39959141794042796,-0.18918796061777476,0.49145299145299143
expected_stress,ES_return,2,40,0.5,long_short,781,37,602,-5.554525695006789e-05,0.010433396723433007,-0.0845126128879951,-0.08220916333535433,-0.39959141794042796,-0.33075108224961014,0.48172757475083056
expected_stress,ES_return,7,40,1.0,short_only,781,37,189,-3.313249785212215e-05,0.0057218685414129585,-0.09192138791372868,-0.03790139699095696,-0.39959141794042796,-0.10377707591837992,0.4603174603174603
expected_stress,ES_return,1,10,1.5,long_short,781,70,70,-2.171993779310633e-05,0.0036526449672809594,-0.09439552062755768,-0.021923174566067627,-0.39959141794042796,-0.11634749164113134,0.5428571428571428
expected_stress,ES_return,2,40,1.0,short_only,781,37,194,-3.4850176330579465e-05,0.005824032272393753,-0.0949907851519154,-0.03964371824509527,-0.39959141794042796,-0.15128536728044706,0.5
expected_stress,ES_return,7,20,1.0,short_only,781,34,153,-3.1424677326500926e-05,0.005040428176334724,-0.09897002198352554,-0.033858164928790124,-0.39959141794042796,-0.09973496917172464,0.49019607843137253
expected_stress,ES_return,2,40,1.0,long_short,781,67,428,-5.6097303754281515e-05,0.008983005968110429,-0.09913352978855844,-0.07249097076780842,-0.39959141794042796,-0.2821296864177836,0.4953271028037383
expected_stress,ES_return,10,10,0.5,long_short,781,70,245,-4.501386641551371e-05,0.006768083104223442,-0.10557981713665429,-0.05165683661285525,-0.39959141794042796,-0.1337319954441204,0.5102040816326531
expected_stress,ES_return,1,20,0.5,long_short,781,70,525,-6.784917796051248e-05,0.009763955866528938,-0.11031105875378974,-0.08622796628444729,-0.39959141794042796,-0.2671185782942841,0.49714285714285716
